Position,Track_Name,Artist,Streams,URL,Date,Region
102,Let You Down,NF,1591,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-09,th
61,Let You Down,NF,2354,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-11,th
146,Let You Down,NF,1003,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-08,th
51,Let You Down,NF,2754,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-12,th
79,Let You Down,NF,1897,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-10,th
52,Let You Down,NF,2531,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,2017-10-13,th
18,Let You Down,NF,2712,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-26,th
22,Let You Down,NF,4014,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-07,th
34,Let You Down,NF,4257,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-09,th
31,Let You Down,NF,4346,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-12,th
40,Let You Down,NF,3893,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-19,th
148,Let You Down,NF,1556,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-08,th
36,Let You Down,NF,3265,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-21,th
24,Let You Down,NF,4491,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-05,th
89,Let You Down,NF,2517,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-24,th
84,Let You Down,NF,2490,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-01,th
151,Let You Down,NF,1527,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-09,th
25,Let You Down,NF,4681,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-28,th
29,Let You Down,NF,4400,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-05,th
40,Let You Down,NF,3893,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-21,th
26,Let You Down,NF,4751,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-22,th
28,Let You Down,NF,4522,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-15,th
39,Let You Down,NF,4126,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-28,th
35,Let You Down,NF,3811,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-13,th
25,Let You Down,NF,4003,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-16,th
27,Let You Down,NF,4525,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-23,th
45,Let You Down,NF,3463,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-24,th
41,Let You Down,NF,4045,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-25,th
136,Let You Down,NF,1748,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-06,th
156,Let You Down,NF,1544,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-12,th
48,Let You Down,NF,3303,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-31,th
36,Let You Down,NF,4150,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-14,th
90,Let You Down,NF,2398,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-25,th
22,Let You Down,NF,4079,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-15,th
24,Let You Down,NF,4467,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-25,th
34,Let You Down,NF,4458,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-15,th
41,Let You Down,NF,4026,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-24,th
92,Let You Down,NF,2445,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-26,th
48,Let You Down,NF,2999,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-16,th
36,Let You Down,NF,3858,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-10,th
