Position,Track_Name,Artist,Streams,URL,Date,Region
16,Let You Down,NF,1895619,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-11,global
32,Let You Down,NF,1536202,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-04,global
11,Let You Down,NF,2852965,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-10,global
7,Let You Down,NF,2392583,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-27,global
10,Let You Down,NF,2881716,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-02,global
9,Let You Down,NF,2660194,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-10,global
11,Let You Down,NF,2582643,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-30,global
11,Let You Down,NF,2430800,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-12,global
10,Let You Down,NF,2464181,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-19,global
29,Let You Down,NF,1790049,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-22,global
32,Let You Down,NF,1750335,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-24,global
31,Let You Down,NF,1756324,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-02,global
14,Let You Down,NF,2400685,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-22,global
10,Let You Down,NF,2497018,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-02,global
28,Let You Down,NF,1766467,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-19,global
31,Let You Down,NF,1732274,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-27,global
9,Let You Down,NF,2690003,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-22,global
11,Let You Down,NF,2365698,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-03,global
10,Let You Down,NF,2132706,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-04,global
37,Let You Down,NF,1389720,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-15,global
10,Let You Down,NF,2636101,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-19,global
